nr_registro,id_empresa,marca_comercial,formulacao,classe,classe_toxicologica,classe_ambiental,situacao
05920,46,Prowl H2O,CS - Suspensão de Encapsulado,Herbicida,Categoria 4  Produto Pouco Tóxico,Produto Muito Perigoso ao Meio Ambiente,True
20924,80,Prozum,SC - Suspensão Concentrada,Fungicida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,True
6308,33,Pugil WG,WG - Grânulos Dispersíveis em Água,Fungicida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Muito Perigoso ao Meio Ambiente,True
02301,160,Pulsor 240 SC,SC - Suspensão Concentrada,Fungicida,Não Classificado - Produto Não Classificado,Produto Perigoso ao Meio Ambiente,True
12114,25,Punto,SC - Suspensão Concentrada,Herbicida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Muito Perigoso ao Meio Ambiente,True
30123,66,Pupendo; Hodari; Menorca;,SC - Suspensão Concentrada,Fungicida,Categoria 2  Produto Altamente Tóxico,Produto Muito Perigoso ao Meio Ambiente,True
3604,306,PureSpray 15E,SO - Óleo para Pulverização,Acaricida,Não Classificado - Produto Não Classificado,Produto Perigoso ao Meio Ambiente,True
12716,32,Pureza N,FS - Suspensão Concentrada p/ Trat. Sementes,Fungicida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Muito Perigoso ao Meio Ambiente,True
04219,157,Purpureonyd FR 25,GL - Gel Emulsionável,Nematicida Microbiológico,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Pouco Perigoso ao Meio Ambiente,True
32523,105,Pusher,SC - Suspensão Concentrada,Nematicida Microbiológico,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Pouco Perigoso ao Meio Ambiente,True
21423,20,Pyraclostrobin 250 EC Yonon,EC - Concentrado Emulsionável,Fungicida,Categoria 4  Produto Pouco Tóxico,Produto Muito Perigoso ao Meio Ambiente,True
47825,20,Pyraclostrobin Yonon,EC - Concentrado Emulsionável,Fungicida,Categoria 4  Produto Pouco Tóxico,Produto Muito Perigoso ao Meio Ambiente,True
18325,85,Pyrigran,WG - Grânulos Dispersíveis em Água,Acaricida/Formicida/Inseticida,Categoria 4  Produto Pouco Tóxico,Produto Muito Perigoso ao Meio Ambiente,True
09298,21,Pyrinex 480 EC,EC - Concentrado Emulsionável,Inseticida,Categoria 4  Produto Pouco Tóxico,Produto Muito Perigoso ao Meio Ambiente,True
32224,5,Pyriproxyfen 100 g/L EC; Mister;,EC - Concentrado Emulsionável,Inseticida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Muito Perigoso ao Meio Ambiente,True
18724,252,Pyriproxyfen Wood 100 EC; Pilarfem;,EC - Concentrado Emulsionável,Inseticida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Muito Perigoso ao Meio Ambiente,True
31224,252,Pyriproxyfen Wwood 100 EC,EC - Concentrado Emulsionável,Inseticida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Muito Perigoso ao Meio Ambiente,True
27025,66,Pyrox,SC - Suspensão Concentrada,Herbicida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,True
50725,10,Pyta,EC - Concentrado Emulsionável,Herbicida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Pouco Perigoso ao Meio Ambiente,True
05503,71,Púnch,EC - Concentrado Emulsionável,Acaricida/Inseticida,Categoria 4  Produto Pouco Tóxico,Produto Perigoso ao Meio Ambiente,True
7915,45,Quadris,SC - Suspensão Concentrada,Fungicida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Muito Perigoso ao Meio Ambiente,True
8611,208,Quality,WG - Grânulos Dispersíveis em Água,Fungicida microbiológico,Não Classificado - Produto Não Classificado,Produto Pouco Perigoso ao Meio Ambiente,True
26818,44,Quallis,SL - Concentrado Solúvel,Herbicida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,True
00317,49,Quartzo; Surface;,WS - Pó para Preparação de Pasta em Água,Nematicida Microbiológico,Não Classificado - Produto Não Classificado,Produto Pouco Perigoso ao Meio Ambiente,True
088603,307,Quatermon,SL - Concentrado Solúvel,Bactericida/Fungicida,Categoria 3  Produto Moderadamente Tóxico,Produto Pouco Perigoso ao Meio Ambiente,True
14423,16,Quaty,SL - Concentrado Solúvel,Herbicida,Categoria 4  Produto Pouco Tóxico,Produto Muito Perigoso ao Meio Ambiente,True
01421,66,Querca 40 SC,SC - Suspensão Concentrada,Herbicida,Não Classificado - Produto Não Classificado,Produto Perigoso ao Meio Ambiente,True
25524,166,Quero-Quero,WP - Pó Molhável,Inseticida Microbiológico,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Pouco Perigoso ao Meio Ambiente,True
23525,308,Questbeauve Dry,WP - Pó Molhável,Inseticida Microbiológico,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Pouco Perigoso ao Meio Ambiente,True
25125,308,Questmeta Dry,WP - Pó Molhável,Inseticida Microbiológico,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Pouco Perigoso ao Meio Ambiente,True
27125,308,Questtricho Dry,WP - Pó Molhável,Fungicida microbiológico,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Pouco Perigoso ao Meio Ambiente,True
4801,309,Quimióleo,SO - Óleo para Pulverização,Inseticida,Pouco Tóxico,Produto Pouco Perigoso ao Meio Ambiente,True
23325,105,Quorum,EW - Emulsão Óleo em Água,Fungicida,Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Pouco Perigoso ao Meio Ambiente,True
32023,310,RELI3VER,WP - Pó Molhável,Nematicida Microbiológico,Não Classificado - Produto Não Classificado,Produto Pouco Perigoso ao Meio Ambiente,True
29920,57,RIZO-TURBO; PC-Attack; PC-Guard;,SC - Suspensão Concentrada,Nematicida Microbiológico,Não Classificado - Produto Não Classificado,Produto Pouco Perigoso ao Meio Ambiente,True
3102,54,RMD-1,GE - Gerador de gás,Feromônio,Não Classificado - Produto Não Classificado,Produto Pouco Perigoso ao Meio Ambiente,True
0816,44,Racio,SP - Pó Solúvel,Inseticida,Categoria 4  Produto Pouco Tóxico,Produto Perigoso ao Meio Ambiente,True
